Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|O60814|H2B1K_HUMAN / sp|P62807|H2B1C_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|P58876|H2B1D_HUMAN / sp|Q93079|H2B1H_HUMAN,"Histone H2B type F-S OS=Homo sapiens OX=9606 GN=H2BC12L PE=1 SV=2
Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3
Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3
Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC4 PE=1 SV=4
Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3
Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
Histone H2B type 1-D OS=Homo sapiens OX=9606 GN=H2BC5 PE=1 SV=2
Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3",H2BC12L / H2BC14 / H2BC18 / H2BC12 / H2BC4 / H2BC15 / H2BC13 / H2BC5 / H2BC9,4.8335E+4,3.6423E+4,6.3307E+4
sp|Q06732|ZN33B_HUMAN,Zinc finger protein 33B OS=Homo sapiens OX=9606 GN=ZNF33B PE=1 SV=2,ZNF33B,#N/A,#N/A,#N/A
sp|Q5GLZ8|HERC4_HUMAN,Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1,HERC4,2.7013E+5,2.2200E+5,2.0489E+5
sp|Q5H8A4|PIGG_HUMAN,GPI ethanolamine phosphate transferase 2 OS=Homo sapiens OX=9606 GN=PIGG PE=1 SV=1,PIGG,1.7920E+4,2.6748E+4,1.2751E+4
sp|Q5SWX8|ODR4_HUMAN,Protein odr-4 homolog OS=Homo sapiens OX=9606 GN=ODR4 PE=1 SV=1,ODR4,2.0887E+4,1.0292E+4,2.2118E+4
sp|Q8NF50|DOCK8_HUMAN,Dedicator of cytokinesis protein 8 OS=Homo sapiens OX=9606 GN=DOCK8 PE=1 SV=3,DOCK8,1.0225E+6,1.0542E+6,1.0795E+6
sp|Q96AT9|RPE_HUMAN,Ribulose-phosphate 3-epimerase OS=Homo sapiens OX=9606 GN=RPE PE=1 SV=1,RPE,2.6841E+4,2.1189E+4,1.7702E+4
sp|Q96DZ9|CKLF5_HUMAN,CKLF-like MARVEL transmembrane domain-containing protein 5 OS=Homo sapiens OX=9606 GN=CMTM5 PE=1 SV=2,CMTM5,1.3248E+6,1.3292E+6,1.2299E+6
sp|Q96JP9|CDHR1_HUMAN,Cadherin-related family member 1 OS=Homo sapiens OX=9606 GN=CDHR1 PE=1 SV=2,CDHR1,2.7800E+4,2.1863E+4,8.4092E+3
sp|Q9BQ39|DDX50_HUMAN,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,DDX50,#N/A,#N/A,#N/A
sp|Q9BRG1|VPS25_HUMAN,Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens OX=9606 GN=VPS25 PE=1 SV=1,VPS25,1.3275E+5,1.2311E+5,1.4525E+5
sp|Q9BV40|VAMP8_HUMAN,Vesicle-associated membrane protein 8 OS=Homo sapiens OX=9606 GN=VAMP8 PE=1 SV=1,VAMP8,9.2892E+5,9.0791E+5,9.8586E+5
sp|Q9BYJ0|FGFP2_HUMAN,Fibroblast growth factor-binding protein 2 OS=Homo sapiens OX=9606 GN=FGFBP2 PE=1 SV=1,FGFBP2,2.6840E+5,2.6967E+5,2.7478E+5
sp|Q9HAT2|SIAE_HUMAN,Sialate O-acetylesterase OS=Homo sapiens OX=9606 GN=SIAE PE=1 SV=1,SIAE,4.2239E+5,4.4679E+5,4.3647E+5
sp|O15400|STX7_HUMAN,Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4,STX7,1.6718E+6,1.6835E+6,1.6878E+6
sp|O43310|CTIF_HUMAN,CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1,CTIF,8.6791E+3,7.0457E+3,1.1061E+4
sp|P04432|KVD39_HUMAN / sp|P01597|KV139_HUMAN,"Immunoglobulin kappa variable 1D-39 OS=Homo sapiens OX=9606 GN=IGKV1D-39 PE=3 SV=2
Immunoglobulin kappa variable 1-39 OS=Homo sapiens OX=9606 GN=IGKV1-39 PE=1 SV=2",IGKV1D-39 / IGKV1-39,8.8765E+5,8.9524E+5,8.2273E+5
sp|P20742|PZP_HUMAN,Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4,PZP,9.0156E+6,8.9771E+6,9.3860E+6
sp|P39748|FEN1_HUMAN,Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,FEN1,#N/A,#N/A,#N/A
sp|P53007|TXTP_HUMAN,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A1 PE=1 SV=2",SLC25A1,5.1032E+5,5.3296E+5,5.2755E+5
sp|P55039|DRG2_HUMAN,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1,DRG2,8.9348E+3,1.6499E+4,1.1809E+4
sp|Q10713|MPPA_HUMAN,Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2,PMPCA,1.6960E+5,1.5498E+5,1.2365E+5
sp|Q14642|I5P1_HUMAN,Inositol polyphosphate-5-phosphatase A OS=Homo sapiens OX=9606 GN=INPP5A PE=1 SV=1,INPP5A,1.9241E+5,1.9436E+5,1.5543E+5
sp|Q5K651|SAMD9_HUMAN,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,SAMD9,7.2021E+4,6.6511E+4,5.2521E+4
sp|Q7L3B6|CD37L_HUMAN,Hsp90 co-chaperone Cdc37-like 1 OS=Homo sapiens OX=9606 GN=CDC37L1 PE=1 SV=1,CDC37L1,1.1249E+4,8.8870E+3,3.2307E+4
sp|Q8IWT3|CUL9_HUMAN / sp|Q14999|CUL7_HUMAN,"Cullin-9 OS=Homo sapiens OX=9606 GN=CUL9 PE=1 SV=2
Cullin-7 OS=Homo sapiens OX=9606 GN=CUL7 PE=1 SV=2",CUL9 / CUL7,3.7367E+3,6.9627E+3,5.5883E+3
sp|Q8N1B4|VPS52_HUMAN,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1,VPS52,1.6605E+5,1.7837E+5,1.7706E+5
sp|Q8NI99|ANGL6_HUMAN,Angiopoietin-related protein 6 OS=Homo sapiens OX=9606 GN=ANGPTL6 PE=1 SV=1,ANGPTL6,1.1421E+7,1.1123E+7,1.1350E+7
sp|Q8TB24|RIN3_HUMAN,Ras and Rab interactor 3 OS=Homo sapiens OX=9606 GN=RIN3 PE=1 SV=4,RIN3,1.3981E+5,1.3082E+5,1.6129E+5
sp|Q99719|SEPT5_HUMAN,Septin-5 OS=Homo sapiens OX=9606 GN=SEPTIN5 PE=1 SV=1,SEPTIN5,9.7961E+5,1.1878E+6,1.1756E+6
sp|Q99807|COQ7_HUMAN,"5-demethoxyubiquinone hydroxylase, mitochondrial OS=Homo sapiens OX=9606 GN=COQ7 PE=1 SV=3",COQ7,#N/A,#N/A,#N/A
sp|Q9BRP4|PAAF1_HUMAN,Proteasomal ATPase-associated factor 1 OS=Homo sapiens OX=9606 GN=PAAF1 PE=1 SV=2,PAAF1,8.6170E+4,8.6195E+4,9.3333E+4
sp|Q9BTY2|FUCO2_HUMAN,Plasma alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA2 PE=1 SV=2,FUCA2,4.3601E+4,5.4609E+4,3.9037E+4
sp|Q9H0Z9|RBM38_HUMAN,RNA-binding protein 38 OS=Homo sapiens OX=9606 GN=RBM38 PE=1 SV=2,RBM38,3.3542E+4,7.0971E+4,5.9319E+4
sp|Q9H2E6|SEM6A_HUMAN,Semaphorin-6A OS=Homo sapiens OX=9606 GN=SEMA6A PE=1 SV=3,SEMA6A,#N/A,#N/A,5.0323E+4
sp|Q9H469|FXL15_HUMAN,F-box/LRR-repeat protein 15 OS=Homo sapiens OX=9606 GN=FBXL15 PE=1 SV=2,FBXL15,1.5436E+3,7.5931E+3,3.3199E+3
sp|Q9H6T3|RPAP3_HUMAN,RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,RPAP3,3.6467E+4,3.3293E+4,2.9030E+4
sp|Q9NSK0|KLC4_HUMAN,Kinesin light chain 4 OS=Homo sapiens OX=9606 GN=KLC4 PE=1 SV=3,KLC4,5.8419E+3,3.5963E+3,5.6147E+3
sp|Q9UHB6|LIMA1_HUMAN,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1,1.2065E+6,1.0695E+6,8.5345E+5
sp|Q9Y274|SIA10_HUMAN,"Type 2 lactosamine alpha-2,3-sialyltransferase OS=Homo sapiens OX=9606 GN=ST3GAL6 PE=1 SV=1",ST3GAL6,8.6984E+5,8.6014E+5,8.8881E+5
sp|Q9Y282|ERGI3_HUMAN,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens OX=9606 GN=ERGIC3 PE=1 SV=1,ERGIC3,8.5436E+3,1.2388E+4,1.1830E+4
sp|O14901|KLF11_HUMAN,Krueppel-like factor 11 OS=Homo sapiens OX=9606 GN=KLF11 PE=1 SV=2,KLF11,#N/A,#N/A,#N/A
sp|O60684|IMA7_HUMAN,Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,KPNA6,9.5571E+4,9.1627E+4,9.3407E+4
sp|P01594|KV133_HUMAN / sp|P01593|KVD33_HUMAN,"Immunoglobulin kappa variable 1-33 OS=Homo sapiens OX=9606 GN=IGKV1-33 PE=1 SV=2
Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2",IGKV1-33 / IGKV1D-33,1.1400E+6,1.1160E+6,1.0267E+6
sp|P10301|RRAS_HUMAN,Ras-related protein R-Ras OS=Homo sapiens OX=9606 GN=RRAS PE=1 SV=1,RRAS,7.1216E+5,8.1272E+5,7.2033E+5
sp|P13929|ENOB_HUMAN,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,ENO3,3.0419E+3,1.0754E+3,#N/A
sp|P16591|FER_HUMAN,Tyrosine-protein kinase Fer OS=Homo sapiens OX=9606 GN=FER PE=1 SV=2,FER,1.6855E+5,1.5721E+5,1.5411E+5
sp|P22304|IDS_HUMAN,Iduronate 2-sulfatase OS=Homo sapiens OX=9606 GN=IDS PE=1 SV=1,IDS,1.3509E+5,1.4757E+5,1.1351E+5
sp|P27487|DPP4_HUMAN,Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2,DPP4,2.5913E+5,2.8271E+5,2.7433E+5
sp|P49589|SYCC_HUMAN,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",CARS1,2.6118E+5,2.7149E+5,2.4897E+5
sp|P49773|HINT1_HUMAN,Adenosine 5'-monophosphoramidase HINT1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2,HINT1,2.7561E+5,2.5245E+5,2.5669E+5
sp|P55957|BID_HUMAN,BH3-interacting domain death agonist OS=Homo sapiens OX=9606 GN=BID PE=1 SV=1,BID,7.1898E+5,7.9014E+5,7.3941E+5
sp|P78406|RAE1L_HUMAN,mRNA export factor RAE1 OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,7.2297E+4,8.4955E+4,6.2945E+4
sp|Q15031|SYLM_HUMAN,"Leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2",LARS2,5.0098E+4,4.4905E+4,4.2616E+4
sp|Q15084|PDIA6_HUMAN,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,9.1646E+6,9.5532E+6,9.1493E+6
sp|Q17RN3|FA98C_HUMAN,Protein FAM98C OS=Homo sapiens OX=9606 GN=FAM98C PE=1 SV=1,FAM98C,#N/A,4.5987E+3,3.3573E+3
sp|Q6P3W7|SCYL2_HUMAN,SCY1-like protein 2 OS=Homo sapiens OX=9606 GN=SCYL2 PE=1 SV=1,SCYL2,3.6218E+5,3.5319E+5,3.5394E+5
sp|Q8WWB7|GLMP_HUMAN,Glycosylated lysosomal membrane protein OS=Homo sapiens OX=9606 GN=GLMP PE=1 SV=1,GLMP,2.4147E+4,2.4003E+4,1.9393E+4
sp|Q92575|UBXN4_HUMAN,UBX domain-containing protein 4 OS=Homo sapiens OX=9606 GN=UBXN4 PE=1 SV=2,UBXN4,1.0816E+5,1.2747E+5,1.1501E+5
sp|Q96D15|RCN3_HUMAN,Reticulocalbin-3 OS=Homo sapiens OX=9606 GN=RCN3 PE=1 SV=1,RCN3,1.8261E+4,8.1928E+3,1.5003E+4
sp|Q96DT5|DYH11_HUMAN,Dynein axonemal heavy chain 11 OS=Homo sapiens OX=9606 GN=DNAH11 PE=1 SV=4,DNAH11,#N/A,#N/A,#N/A
sp|Q96JM3|CHAP1_HUMAN,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2,CHAMP1,#N/A,3.7613E+4,3.0004E+4
sp|Q96SZ5|AEDO_HUMAN,2-aminoethanethiol dioxygenase OS=Homo sapiens OX=9606 GN=ADO PE=1 SV=2,ADO,2.0678E+4,1.7861E+4,1.3921E+4
sp|Q9BTC0|DIDO1_HUMAN,Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5,DIDO1,#N/A,#N/A,#N/A
sp|Q9HBE5|IL21R_HUMAN,Interleukin-21 receptor OS=Homo sapiens OX=9606 GN=IL21R PE=1 SV=1,IL21R,1.0131E+4,1.6850E+4,#N/A
sp|Q9NVM1|EVA1B_HUMAN,Protein eva-1 homolog B OS=Homo sapiens OX=9606 GN=EVA1B PE=1 SV=1,EVA1B,1.3147E+4,6.7172E+3,2.0094E+4
sp|Q9UEY8|ADDG_HUMAN,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,ADD3,1.0501E+6,1.1274E+6,1.0737E+6
sp|Q9Y512|SAM50_HUMAN,Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3,SAMM50,2.0163E+5,2.2844E+5,1.9834E+5
sp|A0A0J9YX57|MAB6B_HUMAN,Melanoma-associated antigen B6B OS=Homo sapiens OX=9606 GN=MAGEB6B PE=1 SV=1,MAGEB6B,#N/A,#N/A,#N/A
sp|O00451|GFRA2_HUMAN,GDNF family receptor alpha-2 OS=Homo sapiens OX=9606 GN=GFRA2 PE=1 SV=2,GFRA2,3.2616E+3,4.4933E+3,4.3333E+3
sp|O43598|DNPH1_HUMAN,5-hydroxymethyl-dUMP N-hydrolase OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1,DNPH1,1.6313E+5,1.6856E+5,1.3473E+5
sp|O94769|ECM2_HUMAN,Extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=ECM2 PE=1 SV=1,ECM2,3.1416E+6,3.1272E+6,3.0744E+6
sp|O95298|NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens OX=9606 GN=NDUFC2 PE=1 SV=1,NDUFC2,1.6774E+4,2.6187E+4,1.5596E+4
sp|P04275|VWF_HUMAN,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,VWF,1.5260E+8,1.5478E+8,1.5599E+8
sp|P07305|H10_HUMAN,Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,H1-0,2.2757E+3,4.8445E+3,6.3360E+3
sp|P19838|NFKB1_HUMAN,Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=2,NFKB1,2.1686E+5,2.0288E+5,1.9198E+5
sp|P49821|NDUV1_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=4",NDUFV1,5.7948E+5,6.4233E+5,5.7160E+5
sp|P54819|KAD2_HUMAN,"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",AK2,3.8244E+6,3.6954E+6,2.8563E+6
sp|Q02252|MMSA_HUMAN,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",ALDH6A1,4.8146E+5,4.7220E+5,4.6022E+5
sp|Q07912|ACK1_HUMAN,Activated CDC42 kinase 1 OS=Homo sapiens OX=9606 GN=TNK2 PE=1 SV=3,TNK2,1.8429E+4,1.2972E+4,1.8573E+4
sp|Q7L0Y3|TM10C_HUMAN,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,TRMT10C,6.4849E+4,6.5245E+4,6.0697E+4
sp|Q8TD06|AGR3_HUMAN,Anterior gradient protein 3 OS=Homo sapiens OX=9606 GN=AGR3 PE=1 SV=1,AGR3,1.6619E+5,2.3726E+5,8.5396E+4
sp|Q8WWU5|TCP11_HUMAN,T-complex protein 11 homolog OS=Homo sapiens OX=9606 GN=TCP11 PE=1 SV=1,TCP11,6.9295E+3,6.3923E+3,3.4685E+3
sp|Q92963|RIT1_HUMAN,GTP-binding protein Rit1 OS=Homo sapiens OX=9606 GN=RIT1 PE=1 SV=1,RIT1,3.9404E+4,4.9388E+4,3.2734E+4
sp|Q93084|AT2A3_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3,ATP2A3,1.6059E+7,1.7306E+7,1.6837E+7
sp|Q96GW7|PGCB_HUMAN,Brevican core protein OS=Homo sapiens OX=9606 GN=BCAN PE=1 SV=2,BCAN,1.6377E+5,1.2428E+5,1.0312E+5
sp|Q96IX5|ATPMK_HUMAN,"ATP synthase membrane subunit K, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MK PE=1 SV=1",ATP5MK,1.3628E+5,1.2765E+5,1.4717E+5
sp|Q96JB5|CK5P3_HUMAN,CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens OX=9606 GN=CDK5RAP3 PE=1 SV=2,CDK5RAP3,1.4632E+5,1.5728E+5,1.6770E+5
sp|Q96MH2|HEXI2_HUMAN,Protein HEXIM2 OS=Homo sapiens OX=9606 GN=HEXIM2 PE=1 SV=1,HEXIM2,7.2289E+4,6.7392E+4,6.1663E+4
sp|Q96MX6|DAA10_HUMAN,Dynein axonemal assembly factor 10 OS=Homo sapiens OX=9606 GN=DNAAF10 PE=1 SV=1,DNAAF10,1.7694E+4,4.4017E+4,3.4382E+4
sp|Q9H300|PARL_HUMAN,"Presenilin-associated rhomboid-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=PARL PE=1 SV=2",PARL,6.5358E+3,#N/A,5.2885E+3
sp|Q9NPQ8|RIC8A_HUMAN,Chaperone Ric-8A OS=Homo sapiens OX=9606 GN=RIC8A PE=1 SV=3,RIC8A,3.4086E+5,3.6921E+5,3.1837E+5
sp|Q9NQP4|PFD4_HUMAN,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,PFDN4,4.3097E+4,3.2961E+4,3.5199E+4
sp|Q9UJJ9|GNPTG_HUMAN,N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens OX=9606 GN=GNPTG PE=1 SV=1,GNPTG,3.9830E+4,2.1408E+4,4.6821E+4
sp|Q9Y5H3|PCDGA_HUMAN,Protocadherin gamma-A10 OS=Homo sapiens OX=9606 GN=PCDHGA10 PE=1 SV=1,PCDHGA10,2.9214E+4,1.0909E+4,2.2979E+4
sp|A6NIH7|U119B_HUMAN,Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1,UNC119B,5.1326E+4,7.3669E+4,5.8799E+4
sp|O95757|HS74L_HUMAN,Heat shock 70 kDa protein 4L OS=Homo sapiens OX=9606 GN=HSPA4L PE=1 SV=3,HSPA4L,4.7482E+4,4.1810E+4,3.1175E+4
sp|P01011|AACT_HUMAN,Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2,SERPINA3,1.1302E+7,1.1089E+7,1.0505E+7
sp|P01766|HV313_HUMAN,Immunoglobulin heavy variable 3-13 OS=Homo sapiens OX=9606 GN=IGHV3-13 PE=1 SV=2,IGHV3-13,3.5780E+6,3.6304E+6,3.5408E+6
sp|P16870|CBPE_HUMAN,Carboxypeptidase E OS=Homo sapiens OX=9606 GN=CPE PE=1 SV=1,CPE,4.0191E+4,4.0774E+4,5.1322E+4
sp|P20339|RAB5A_HUMAN,Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2,RAB5A,1.6189E+5,1.7848E+5,3.2695E+5
sp|P26639|SYTC_HUMAN,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",TARS1,1.2126E+6,1.3517E+6,1.1567E+6
sp|P30405|PPIF_HUMAN,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1",PPIF,1.3868E+6,1.7495E+6,1.2603E+6
sp|P49593|PPM1F_HUMAN,Protein phosphatase 1F OS=Homo sapiens OX=9606 GN=PPM1F PE=1 SV=3,PPM1F,1.5124E+6,1.4832E+6,1.5739E+6
sp|P51689|ARSD_HUMAN,Arylsulfatase D OS=Homo sapiens OX=9606 GN=ARSD PE=1 SV=2,ARSD,3.4403E+4,4.5052E+4,4.1688E+4
sp|P62310|LSM3_HUMAN,U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens OX=9606 GN=LSM3 PE=1 SV=2,LSM3,2.5197E+5,2.6591E+5,2.5542E+5
sp|P82909|KGD4_HUMAN,Alpha-ketoglutarate dehydrogenase component 4 OS=Homo sapiens OX=9606 GN=KGD4 PE=1 SV=2,KGD4,2.0857E+5,2.4071E+5,2.4028E+5
sp|Q04837|SSBP_HUMAN,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",SSBP1,5.6623E+5,5.6346E+5,6.1013E+5
sp|Q05707|COEA1_HUMAN,Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3,COL14A1,6.3621E+5,4.3175E+5,3.6690E+5
sp|Q14766|LTBP1_HUMAN,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,LTBP1,1.6928E+7,1.7303E+7,1.7028E+7
sp|Q15118|PDK1_HUMAN,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDK1 PE=1 SV=1",PDK1,2.4815E+5,2.7696E+5,2.2675E+5
sp|Q15435|PP1R7_HUMAN,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1,PPP1R7,4.3428E+5,4.8927E+5,4.8213E+5
sp|Q5TA50|CPTP_HUMAN,Ceramide-1-phosphate transfer protein OS=Homo sapiens OX=9606 GN=CPTP PE=1 SV=1,CPTP,4.8657E+3,1.2757E+4,9.6059E+3
sp|Q8NBJ7|SUMF2_HUMAN,Inactive C-alpha-formylglycine-generating enzyme 2 OS=Homo sapiens OX=9606 GN=SUMF2 PE=1 SV=2,SUMF2,1.3155E+5,1.9363E+5,1.3795E+5
sp|Q8TAD7|OCC1_HUMAN,Overexpressed in colon carcinoma 1 protein OS=Homo sapiens OX=9606 GN=OCC1 PE=1 SV=2,OCC1,2.4608E+4,9.8641E+3,1.8269E+4
sp|Q93050|VPP1_HUMAN,V-type proton ATPase 116 kDa subunit a 1 OS=Homo sapiens OX=9606 GN=ATP6V0A1 PE=1 SV=3,ATP6V0A1,8.9508E+4,9.2241E+4,8.2270E+4
sp|Q9NUI1|DECR2_HUMAN,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] OS=Homo sapiens OX=9606 GN=DECR2 PE=1 SV=1",DECR2,2.6708E+4,1.2951E+4,2.1612E+4
sp|Q9Y6G9|DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3,DYNC1LI1,2.3364E+5,1.9410E+5,2.2555E+5
sp|O43169|CYB5B_HUMAN,Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3,CYB5B,1.9799E+5,2.1189E+5,2.0591E+5
sp|O43182|RHG06_HUMAN,Rho GTPase-activating protein 6 OS=Homo sapiens OX=9606 GN=ARHGAP6 PE=1 SV=3,ARHGAP6,2.0388E+6,2.1129E+6,2.2649E+6
sp|O43426|SYNJ1_HUMAN,Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2,SYNJ1,2.9285E+4,4.8430E+4,1.6606E+4
sp|P00491|PNPH_HUMAN,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2,PNP,9.9472E+6,1.0686E+7,9.9084E+6
sp|P01833|PIGR_HUMAN,Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4,PIGR,4.5439E+5,3.8011E+5,3.7093E+5
sp|P08185|CBG_HUMAN,Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1,SERPINA6,2.9692E+5,2.9400E+5,2.9675E+5
sp|P11274|BCR_HUMAN,Breakpoint cluster region protein OS=Homo sapiens OX=9606 GN=BCR PE=1 SV=2,BCR,3.2767E+4,3.4814E+4,4.0290E+4
sp|P13861|KAP2_HUMAN,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,PRKAR2A,4.2212E+5,4.4435E+5,3.8281E+5
sp|P50851|LRBA_HUMAN,Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens OX=9606 GN=LRBA PE=1 SV=4,LRBA,4.6856E+6,4.8893E+6,5.0142E+6
sp|P51784|UBP11_HUMAN,Ubiquitin carboxyl-terminal hydrolase 11 OS=Homo sapiens OX=9606 GN=USP11 PE=1 SV=3,USP11,8.8437E+3,2.1381E+4,1.1261E+4
sp|Q13214|SEM3B_HUMAN,Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1,SEMA3B,4.3502E+3,5.4820E+3,4.4774E+3
sp|Q15019|SEPT2_HUMAN,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,SEPTIN2,8.7566E+5,8.8353E+5,8.1452E+5
