Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|P50591|TNF10_HUMAN,Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens OX=9606 GN=TNFSF10 PE=1 SV=1,TNFSF10,1.9539E+4,1.2545E+4,4.4756E+3,1.1398E+4,9.4633E+3,1.0226E+4,1.0346E+4,5.5207E+3,6.8280E+3,7.6715E+3,8.0786E+3,3.3893E+3,3.3159E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51858|HDGF_HUMAN,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF,3.6059E+5,2.8707E+5,3.0868E+5,2.3344E+5,2.1143E+5,1.9941E+5,1.6865E+5,1.6554E+5,1.4447E+5,9.1646E+4,8.4611E+4,8.8193E+4,2.1975E+4,8.3590E+3,1.0649E+4,2.5556E+3,8.5436E+3,1.0820E+4,#N/A,#N/A,9.8225E+3,#N/A,3.8932E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15437|SC23B_HUMAN,Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,4.1295E+4,4.1698E+4,2.8494E+4,2.9322E+4,1.9466E+4,2.4969E+4,9.7311E+3,8.8041E+3,2.3311E+4,6.4236E+3,6.1023E+3,7.0348E+3,1.6428E+3,2.9623E+3,#N/A,#N/A,1.9092E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q2M2I8|AAK1_HUMAN,AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3,AAK1,9.7491E+3,8.2683E+3,2.4340E+3,5.3908E+3,2.3906E+3,4.4277E+3,7.6738E+3,#N/A,4.1365E+3,#N/A,#N/A,#N/A,#N/A,#N/A,1.2307E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86W10|CP4Z1_HUMAN,Cytochrome P450 4Z1 OS=Homo sapiens OX=9606 GN=CYP4Z1 PE=1 SV=1,CYP4Z1,8.6786E+3,#N/A,2.1766E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86YL5|TDRP_HUMAN,Testis development-related protein OS=Homo sapiens OX=9606 GN=TDRP PE=1 SV=2,TDRP,2.8355E+5,2.6346E+5,2.5915E+5,2.1331E+5,2.1504E+5,1.6353E+5,1.4354E+5,1.3271E+5,1.4075E+5,6.2290E+4,1.0259E+5,1.0021E+5,8.4394E+4,3.7491E+4,1.9960E+4,9.9040E+3,1.5385E+4,3.8470E+4,4.4269E+4,4.5187E+4,4.9575E+4,#N/A,#N/A,4.0047E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,3.3991E+5,2.9688E+5,2.5373E+5,2.3551E+5,2.2562E+5,2.1141E+5,1.9913E+5,1.5856E+5,1.6580E+5,1.0784E+5,9.3172E+4,8.0150E+4,1.8535E+4,1.1119E+4,1.2205E+4,2.1683E+3,3.8342E+3,1.0973E+4,#N/A,9.6467E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,5.2390E+5,4.5770E+5,4.5591E+5,3.9334E+5,3.1267E+5,3.3573E+5,2.7143E+5,1.9541E+5,1.8123E+5,1.1467E+5,6.9428E+4,7.0268E+4,1.0942E+4,7.5560E+3,3.9473E+3,#N/A,#N/A,#N/A,7.5941E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96N67|DOCK7_HUMAN,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,5.9016E+4,5.5789E+4,5.6031E+4,4.5663E+4,5.2267E+4,5.4298E+4,1.7843E+4,5.5343E+3,1.1069E+4,4.8111E+3,#N/A,7.3394E+3,#N/A,1.5303E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96PD5|PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1,PGLYRP2,3.0416E+6,2.5199E+6,2.5125E+6,2.3270E+6,1.7829E+6,1.8028E+6,1.7271E+6,1.3567E+6,1.2480E+6,1.5034E+6,8.8824E+5,7.6577E+5,4.7487E+5,2.6503E+5,2.6573E+5,2.1628E+5,3.1919E+5,6.7916E+5,1.6519E+5,6.0132E+5,1.6273E+5,6.3713E+4,6.6972E+4,5.5119E+4,1.6201E+4,8.4106E+3,3.4000E+3,6.6692E+3,#N/A,5.2697E+3,#N/A,3.7056E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96PP9|GBP4_HUMAN,Guanylate-binding protein 4 OS=Homo sapiens OX=9606 GN=GBP4 PE=1 SV=2,GBP4,3.7316E+4,3.2018E+4,4.2190E+4,3.5885E+4,2.1062E+4,1.6253E+4,7.0000E+3,3.5772E+3,3.0300E+3,#N/A,1.1858E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96RF0|SNX18_HUMAN,Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18 PE=1 SV=2,SNX18,1.8183E+4,1.8597E+4,1.5828E+4,4.0176E+4,2.5399E+4,2.4890E+4,4.1632E+4,1.5348E+4,3.2183E+4,2.2556E+4,3.4320E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NSY0|NRBP2_HUMAN,Nuclear receptor-binding protein 2 OS=Homo sapiens OX=9606 GN=NRBP2 PE=1 SV=2,NRBP2,9.7743E+3,5.4338E+3,#N/A,5.7023E+4,4.3564E+4,#N/A,5.8814E+4,#N/A,6.0324E+4,7.9948E+4,1.3512E+5,8.0691E+4,1.8668E+5,7.7906E+4,#N/A,#N/A,#N/A,8.2199E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NXL6|SIDT1_HUMAN,SID1 transmembrane family member 1 OS=Homo sapiens OX=9606 GN=SIDT1 PE=1 SV=2,SIDT1,1.5541E+5,1.4713E+5,1.3691E+5,1.0224E+5,1.1327E+5,1.0199E+5,6.9421E+4,5.7029E+4,6.3296E+4,3.4533E+4,3.8067E+4,5.4698E+4,1.0966E+4,4.6635E+3,1.5372E+4,#N/A,#N/A,3.8512E+3,#N/A,#N/A,#N/A,3.0786E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UIQ6|LCAP_HUMAN,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,LNPEP,5.6668E+5,4.1436E+5,6.2067E+5,3.6214E+5,3.3538E+5,3.6470E+5,6.0925E+5,2.2080E+5,2.3904E+5,1.8351E+5,2.6548E+5,2.2841E+5,8.3390E+3,1.3107E+4,1.1660E+4,7.7438E+3,#N/A,2.5708E+3,1.6221E+3,7.0228E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UKG1|DP13A_HUMAN,DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1,APPL1,6.0365E+5,4.9190E+5,4.0662E+5,4.4821E+5,3.4846E+5,3.7187E+5,3.1631E+5,2.7997E+5,2.1148E+5,1.7278E+5,1.2482E+5,1.2155E+5,4.4270E+4,4.7618E+4,2.4290E+4,1.9610E+4,1.1294E+4,#N/A,#N/A,5.5026E+3,#N/A,1.2009E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y6B6|SAR1B_HUMAN,Small COPII coat GTPase SAR1B OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,SAR1B,3.1254E+4,2.5400E+4,2.5844E+4,2.3544E+4,1.9954E+4,1.9373E+4,2.7714E+4,1.0193E+4,1.2624E+4,9.7262E+3,3.3943E+3,5.6064E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.7174E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O00453|LST1_HUMAN,Leukocyte-specific transcript 1 protein OS=Homo sapiens OX=9606 GN=LST1 PE=1 SV=2,LST1,1.2563E+5,1.1325E+5,9.3336E+4,1.0693E+5,7.5661E+4,5.4266E+4,7.5061E+4,5.9674E+4,4.6399E+4,3.9106E+4,3.3528E+4,3.6208E+4,1.8399E+4,#N/A,1.1593E+4,#N/A,#N/A,#N/A,#N/A,1.4180E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O14727|APAF_HUMAN,Apoptotic protease-activating factor 1 OS=Homo sapiens OX=9606 GN=APAF1 PE=1 SV=2,APAF1,3.0632E+5,2.4270E+5,2.7809E+5,2.2855E+5,3.7127E+5,2.0934E+5,2.2639E+5,3.1945E+5,1.4434E+5,9.1559E+4,6.0341E+4,1.0360E+5,9.9206E+3,1.2541E+4,3.1058E+3,#N/A,#N/A,#N/A,#N/A,#N/A,8.3649E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15371|EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,EIF3D,2.8401E+5,2.4430E+5,2.5400E+5,2.2234E+5,1.8288E+5,1.7588E+5,1.7825E+5,1.5028E+5,1.6051E+5,1.3572E+5,1.3123E+5,1.2768E+5,9.3561E+4,7.6026E+4,8.6504E+4,9.7325E+4,1.0589E+5,8.3402E+4,4.0006E+3,7.3414E+4,7.8207E+4,7.7300E+4,6.6192E+4,2.0684E+3,8.8505E+4,#N/A,6.2222E+4,7.9780E+4,6.4950E+4,6.7444E+4,#N/A,6.5419E+4,6.5775E+4,1.1479E+5,#N/A,7.3068E+4,9.4335E+4,#N/A,6.2879E+4,#N/A,#N/A,#N/A
sp|O75955|FLOT1_HUMAN,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,3.4758E+6,2.8692E+6,2.6763E+6,2.6046E+6,2.0896E+6,2.0128E+6,1.8858E+6,1.5331E+6,1.3668E+6,1.0735E+6,1.0085E+6,8.7935E+5,3.7018E+5,3.5843E+5,3.0708E+5,2.3534E+5,1.6278E+5,2.1000E+5,1.5785E+5,1.1676E+5,1.3437E+5,1.2906E+5,6.4621E+4,6.9400E+4,2.2008E+4,2.6972E+4,1.2778E+4,#N/A,5.8302E+3,#N/A,#N/A,5.1915E+3,#N/A,#N/A,#N/A,5.1582E+3,1.1657E+4,#N/A,1.2732E+4,#N/A,#N/A,#N/A
sp|P09211|GSTP1_HUMAN,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1,4.0484E+6,3.7814E+6,3.5972E+6,3.1634E+6,3.1624E+6,2.5276E+6,2.5829E+6,1.9941E+6,1.9403E+6,1.6250E+6,1.4296E+6,1.3089E+6,5.0722E+5,5.7241E+5,4.7179E+5,4.2097E+5,4.2808E+5,2.9498E+5,3.5101E+5,3.8203E+5,3.2386E+5,1.7924E+5,2.2349E+5,3.7933E+5,9.9478E+3,8.2369E+4,1.5148E+4,9.7984E+3,1.0372E+4,8.2446E+3,8.9685E+3,4.0403E+3,7.5346E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P09603|CSF1_HUMAN,Macrophage colony-stimulating factor 1 OS=Homo sapiens OX=9606 GN=CSF1 PE=1 SV=2,CSF1,1.6512E+6,1.4252E+6,1.4278E+6,1.3464E+6,1.1851E+6,1.0813E+6,1.0299E+6,9.6772E+5,9.1696E+5,8.6540E+5,8.0713E+5,6.6848E+5,5.8501E+5,6.3607E+5,5.4772E+5,5.6672E+5,1.2061E+5,1.0319E+5,1.2047E+5,9.7611E+4,4.3285E+5,1.8804E+4,2.9314E+4,9.3110E+4,2.6440E+4,#N/A,1.5310E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P29274|AA2AR_HUMAN,Adenosine receptor A2a OS=Homo sapiens OX=9606 GN=ADORA2A PE=1 SV=2,ADORA2A,1.1676E+4,1.1276E+4,1.1741E+4,1.1027E+4,5.0732E+3,9.5094E+3,6.6540E+3,#N/A,4.3399E+3,#N/A,#N/A,2.9765E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P30837|AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4",ALDH1B1,6.8039E+4,4.9950E+4,4.9905E+4,5.6102E+4,5.0125E+4,4.6992E+4,7.1243E+4,4.4143E+4,4.1528E+4,5.4439E+4,3.5857E+4,2.0291E+4,#N/A,#N/A,#N/A,1.0917E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.1200E+3,#N/A,#N/A,6.5359E+3,#N/A,3.6418E+3,#N/A,#N/A,#N/A,5.5447E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P34932|HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,2.0015E+6,1.7831E+6,1.7506E+6,1.6739E+6,1.4644E+6,1.4672E+6,1.2837E+6,1.0604E+6,1.0993E+6,7.9653E+5,6.1271E+5,5.9516E+5,2.2167E+5,2.0611E+5,2.0212E+5,1.9123E+5,1.4951E+5,1.0047E+5,7.6764E+4,4.0555E+4,1.0766E+5,6.0783E+4,5.2747E+4,1.8016E+4,#N/A,#N/A,#N/A,2.2744E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P40855|PEX19_HUMAN,Peroxisomal biogenesis factor 19 OS=Homo sapiens OX=9606 GN=PEX19 PE=1 SV=1,PEX19,5.5282E+4,1.5566E+4,1.7787E+4,#N/A,1.3826E+4,8.2274E+4,5.4809E+4,4.7293E+3,#N/A,#N/A,8.0333E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P43490|NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,NAMPT,5.0669E+4,3.8877E+4,4.8689E+4,3.4038E+4,2.6033E+4,2.4489E+4,1.9826E+4,2.1618E+4,7.9626E+3,2.2579E+4,8.4402E+3,8.0740E+3,6.9570E+3,#N/A,#N/A,8.8713E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P53985|MOT1_HUMAN,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,SLC16A1,8.5834E+3,8.9239E+3,1.0100E+4,7.0917E+3,6.2906E+3,2.5244E+3,4.8164E+3,#N/A,5.2836E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q01955|CO4A3_HUMAN,Collagen alpha-3(IV) chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3,COL4A3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6951E+3,6.3983E+3,1.1556E+4,#N/A,1.0505E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.8820E+3,1.8439E+3,#N/A,4.9036E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.1984E+3,8.6054E+3,6.3923E+3,1.1235E+4,#N/A,#N/A,#N/A,6.7196E+3,#N/A,#N/A,#N/A,#N/A
sp|Q13242|SRSF9_HUMAN,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,SRSF9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.5027E+3,5.0959E+3,#N/A,2.1371E+4,7.3264E+3,#N/A,#N/A,#N/A,1.5094E+4,#N/A,#N/A,#N/A,#N/A,1.1359E+4,1.4771E+4,2.7317E+4,#N/A,2.3697E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15042|RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3,RAB3GAP1,5.1084E+5,4.6500E+5,4.7367E+5,5.4084E+5,4.1005E+5,2.8698E+5,3.5788E+5,3.4873E+5,3.1099E+5,2.5299E+5,1.4642E+5,1.2349E+5,4.2961E+4,3.3023E+4,2.3453E+4,3.8667E+4,1.6190E+4,2.9094E+4,1.4925E+4,2.1361E+4,1.6274E+4,2.7515E+3,#N/A,8.3684E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15276|RABE1_HUMAN,Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2,RABEP1,2.0719E+5,2.2275E+5,1.6016E+5,1.8615E+5,1.0441E+5,1.0169E+5,1.4004E+5,1.0933E+5,1.0823E+5,8.3747E+4,4.8222E+4,3.0772E+4,7.0631E+3,#N/A,1.3572E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15813|TBCE_HUMAN,Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1,TBCE,2.1431E+5,1.7336E+5,1.7615E+5,1.5428E+5,1.0095E+5,1.0935E+5,7.2570E+4,7.6371E+4,8.6296E+4,4.7857E+4,3.3756E+4,1.7546E+4,1.0936E+4,1.9935E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.3401E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N4C8|MINK1_HUMAN,Misshapen-like kinase 1 OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=2,MINK1,4.1056E+5,3.4550E+5,3.7002E+5,3.3410E+5,2.7650E+5,2.3963E+5,2.8014E+5,1.9074E+5,1.5900E+5,1.4921E+5,9.4607E+4,1.1780E+5,1.6581E+4,1.3127E+4,1.3287E+4,8.5897E+3,3.0886E+3,#N/A,6.2344E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96LJ7|DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens OX=9606 GN=DHRS1 PE=1 SV=1,DHRS1,5.6893E+5,1.9883E+5,1.5722E+5,5.2319E+5,1.7015E+5,4.8643E+5,2.1445E+5,1.7679E+4,3.8006E+4,6.3772E+5,2.1539E+4,9.1879E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BR76|COR1B_HUMAN,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B,3.1454E+6,2.8543E+6,2.6609E+6,2.4592E+6,2.0686E+6,2.1826E+6,1.9975E+6,1.6148E+6,1.4956E+6,1.0362E+6,1.2963E+6,8.1868E+5,3.8379E+5,3.2576E+5,2.6699E+5,3.0906E+5,2.4317E+5,2.0063E+5,1.8230E+5,1.2460E+5,1.7739E+5,1.2267E+5,7.8359E+4,9.1004E+4,2.5225E+4,2.0795E+4,9.3473E+3,2.1471E+4,3.0830E+3,2.4289E+3,4.2204E+3,2.5368E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H8M1|CQ10B_HUMAN,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ10B PE=1 SV=1",COQ10B,1.0087E+4,7.8143E+3,7.0806E+3,5.6103E+3,4.1537E+3,5.2296E+3,4.0761E+3,4.2146E+3,#N/A,1.9247E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.5480E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
